Site;Score
Observatoire de l'accessibilité numérique;100,00
Institut national de recherches archéologiques;90,00
Centre commun de la sécurité sociale;88,71
Accessibilité infrastructure - Luxembourg;85,71
Sécurité alimentaire;82,19
Portail du Grand-Duché de Luxembourg;81,82
Trésorerie de l'Etat;76,81
Portail de la fonction publique;60,61
Bee secure;59,49
Hospices Civils de la Ville de Luxembourg;54,84
Devenez acteur de votre transition énergétique | Klima-Agence;52,05
CITA - Contrôle et information du trafic sur les autoroutes;50,82
Orientation.lu;46,84
Guichet Unique PME;41,51
Digital Learning Hub - Affordable IT Courses in Luxembourg;40,00
SNHBM - Société nationale des habitations à bon marché;38,67
